Algorithm,MNIST,USPS,Caltech-256,Iris,Breast-Cancer
PIC,0.015956411753259347,0.26887502688750264,0.30666666666666664,0.09333333333333338,0.1810193321616872
k-med,0.3562949990270481,0.5505485050548504,0.385,0.10666666666666669,0.13181019332161692
A-link,0.5732632807939289,0.7776941277694127,0.665,0.09333333333333338,0.3374340949033392
S-link,0.7785561393267173,0.8327597332759733,0.8283333333333334,0.31999999999999995,0.37082601054481545
C-link,0.28040474800544857,0.600559260055926,0.5066666666666666,0.16000000000000003,0.3374340949033392
AP,0.9597197898423818,0.9341793934179393,0.7050000000000001,0.4866666666666667,0.8014059753954306
NCuts,0.1151975092430434,0.3571735857173586,0.32666666666666666,0.09333333333333338,0.17398945518453424
NJW,0.03327495621716292,0.26876747687674774,0.29000000000000004,,0.3743409490333919
CT,0.4927028604786924,0.6146483114648311,0.7466666666666666,0.43333333333333335,0.17750439367311077
Zell,0.027242654212881856,0.19713916971391698,0.6799999999999999,0.09333333333333338,0.17750439367311077
C-kernel,0.12881883634948432,0.2685523768552377,0.3683333333333333,0.12,0.26537785588752194
D-kernel,0.02860478692352597,0.1319638631963863,0.31499999999999995,0.11333333333333329,0.17398945518453424
