Algorithm,MNIST,USPS,Caltech-256,Iris,Breast-Cancer
PIC,0.9404138063983419,0.8352890864122148,0.6527949616895339,0.8056936912153357,0.40853876069480044
k-med,0.4905218786629203,0.46899752663226024,0.4663251174214595,0.7581756800057784,0.4980364328681648
A-link,0.4084753650164793,0.13926871294615306,0.3125308749646094,0.8056936912153358,0.08809665670006503
S-link,0.0015650662913718563,0.0021662709247487924,0.01935863607540014,0.7174643320814476,0.005162477750374118
C-link,0.5389207848922246,0.37376964726870876,0.3953619777665611,0.7220663465703594,0.08809665670006503
AP,0.42576094937891407,0.5245899251310151,0.49213901028353374,0.6694461608974133,0.2719732725541469
NCuts,0.8069366776913153,0.7698429468779306,0.5928615936645414,0.7856651817981657,0.420048642734608
NJW,0.8977188652718533,0.7842144191182512,0.5288687147640164,,0.046462458036054935
CT,0.6341694251645671,0.4385119134548487,0.18120977563698928,0.39698334716391137,0.414249928122293
Zell,0.9127963654989685,0.8455287101767203,0.34300947973513884,0.7856651817981657,0.414249928122293
C-kernel,0.7800872160456488,0.7683626907566017,0.5213504311768972,0.7771535104605841,0.2987937424231244
D-kernel,0.9028920839696842,0.8461220687157345,0.5080315038696152,0.7628994493020241,0.420048642734608
